,country,variable,percentile,year,value,age,pop,p_start,p_end
6888,IN,sptincj999,p0p82,2024,0.344,999,j,0.0062,0.01
6991,IN,sptincj999,p0p83,2024,0.3528,999,j,0.0038,0.01
7074,IN,sptincj999,p0p84,2024,0.3618,999,j,0.0038,0.0039000000000000003
7157,IN,sptincj999,p0p85,2024,0.3713,999,j,0.0039000000000000003,0.01
7240,IN,sptincj999,p0p86,2024,0.381,999,j,0.0039000000000000003,0.004
7323,IN,sptincj999,p0p87,2024,0.391,999,j,0.0003,0.0004
7406,IN,sptincj999,p0p88,2024,0.4013,999,j,0.004,0.01
7489,IN,sptincj999,p0p89,2024,0.4119,999,j,0.004,0.0040999999999999995
7572,IN,sptincj999,p0p9,2024,0.0143,999,j,0.004,0.005
7655,IN,sptincj999,p0p90,2024,0.4232,999,j,0.0040999999999999995,0.01
7738,IN,sptincj999,p0p91,2024,0.4366,999,j,0.0040999999999999995,0.0042
7821,IN,sptincj999,p0p92,2024,0.4536,999,j,0.0042,0.01
7904,IN,sptincj999,p0p93,2024,0.4758,999,j,0.0043,0.01
7987,IN,sptincj999,p0p94,2024,0.5055000000000001,999,j,0.0043,0.0044
8070,IN,sptincj999,p0p95,2024,0.547,999,j,0.0044,0.01
8153,IN,sptincj999,p0p96,2024,0.5958,999,j,0.0044,0.0045000000000000005
8236,IN,sptincj999,p0p97,2024,0.6475000000000001,999,j,0.0045000000000000005,0.01
8319,IN,sptincj999,p0p98,2024,0.7045,999,j,0.0045000000000000005,0.0046
8402,IN,sptincj999,p0p99,2024,0.774,999,j,0.0046,0.004699999999999999
8485,IN,sptincj999,p0p99.1,2024,0.7831,999,j,0.004699999999999999,0.01
8568,IN,sptincj999,p0p99.2,2024,0.7927000000000001,999,j,0.004699999999999999,0.0048
8651,IN,sptincj999,p0p99.3,2024,0.803,999,j,0.0048,0.01
8734,IN,sptincj999,p0p99.4,2024,0.8142,999,j,0.0048,0.0049
8817,IN,sptincj999,p0p99.5,2024,0.8265,999,j,0.0049,0.01
8900,IN,sptincj999,p0p99.6,2024,0.8405,999,j,0.0049,0.005
8983,IN,sptincj999,p0p99.7,2024,0.8566,999,j,0.0004,0.0005
9066,IN,sptincj999,p0p99.8,2024,0.8765000000000001,999,j,0.005,0.01
9149,IN,sptincj999,p0p99.9,2024,0.9042,999,j,0.005,0.0051
9232,IN,sptincj999,p0p99.91,2024,0.9079,999,j,0.005,0.006
9315,IN,sptincj999,p0p99.92,2024,0.9117,999,j,0.005,0.009000000000000001
9398,IN,sptincj999,p0p99.93,2024,0.9158,999,j,0.0051,0.01
9481,IN,sptincj999,p0p99.94,2024,0.9202,999,j,0.0052,0.01
9564,IN,sptincj999,p0p99.95,2024,0.9251,999,j,0.0052,0.0053
9647,IN,sptincj999,p0p99.96,2024,0.9307,999,j,0.0053,0.01
9730,IN,sptincj999,p0p99.97,2024,0.9372,999,j,0.0016,0.01
9813,IN,sptincj999,p0p99.98,2024,0.9452,999,j,0.0053,0.0054
9896,IN,sptincj999,p0p99.99,2024,0.9566,999,j,0.0054,0.01
9979,IN,sptincj999,p0p99.991,2024,0.9581,999,j,0.0054,0.0055000000000000005
10062,IN,sptincj999,p0p99.992,2024,0.9597,999,j,0.0055000000000000005,0.01
10145,IN,sptincj999,p0p99.993,2024,0.9615,999,j,0.005600000000000001,0.01
10228,IN,sptincj999,p0p99.994,2024,0.9634,999,j,0.005600000000000001,0.005699999999999999
10311,IN,sptincj999,p0p99.995,2024,0.9656,999,j,0.005699999999999999,0.01
10394,IN,sptincj999,p0p99.996,2024,0.968,999,j,0.005699999999999999,0.0058
10477,IN,sptincj999,p0p99.997,2024,0.9708,999,j,0.0058,0.01
10560,IN,sptincj999,p0p99.998,2024,0.9743,999,j,0.0058,0.0059
10643,IN,sptincj999,p0p99.999,2024,0.9793,999,j,0.0059,0.006
10726,IN,sptincj999,p10p100,2024,0.9836,999,j,0.0005,0.01
10809,IN,sptincj999,p10p11,2024,0.0022,999,j,0.0005,0.0006
10892,IN,sptincj999,p10p20,2024,0.0253,999,j,0.006,0.01
10975,IN,sptincj999,p11p100,2024,0.9813,999,j,0.006,0.0060999999999999995
11058,IN,sptincj999,p11p12,2024,0.0023,999,j,0.006,0.006999999999999999
11141,IN,sptincj999,p12p100,2024,0.979,999,j,0.0060999999999999995,0.01
11224,IN,sptincj999,p12p13,2024,0.0024,999,j,0.0062,0.01
11307,IN,sptincj999,p13p100,2024,0.9766,999,j,0.0062,0.0063
11390,IN,sptincj999,p13p14,2024,0.0024,999,j,0.0063,0.01
11473,IN,sptincj999,p14p100,2024,0.9742,999,j,0.0063,0.0064
11556,IN,sptincj999,p14p15,2024,0.0025,999,j,0.0064,0.01
11639,IN,sptincj999,p15p100,2024,0.9717,999,j,0.0064,0.006500000000000001
11722,IN,sptincj999,p15p16,2024,0.0026,999,j,0.006500000000000001,0.0066
11805,IN,sptincj999,p16p100,2024,0.9691,999,j,0.0066,0.01
11888,IN,sptincj999,p16p17,2024,0.0026,999,j,0.0066,0.0067
11971,IN,sptincj999,p17p100,2024,0.9665,999,j,0.0067,0.01
12054,IN,sptincj999,p17p18,2024,0.0027,999,j,0.0067,0.0068000000000000005
12137,IN,sptincj999,p18p100,2024,0.9638,999,j,0.0068000000000000005,0.01
12220,IN,sptincj999,p18p19,2024,0.0028,999,j,0.0068000000000000005,0.0069
12303,IN,sptincj999,p19p100,2024,0.961,999,j,0.0069,0.006999999999999999
12386,IN,sptincj999,p19p20,2024,0.0028,999,j,0.0006,0.01
12469,IN,sptincj999,p1p2,2024,0.0011,999,j,0.0006,0.0007000000000000001
12552,IN,sptincj999,p20p100,2024,0.9582,999,j,0.006999999999999999,0.01
12635,IN,sptincj999,p20p21,2024,0.0028,999,j,0.006999999999999999,0.0070999999999999995
12718,IN,sptincj999,p20p30,2024,0.0308,999,j,0.006999999999999999,0.008
12801,IN,sptincj999,p21p100,2024,0.9554,999,j,0.0070999999999999995,0.0072
12884,IN,sptincj999,p21p22,2024,0.0029,999,j,0.0072,0.01
12967,IN,sptincj999,p22p100,2024,0.9525,999,j,0.0072,0.0073
13050,IN,sptincj999,p22p23,2024,0.003,999,j,0.0073,0.01
13133,IN,sptincj999,p23p100,2024,0.9495,999,j,0.0073,0.0074
13216,IN,sptincj999,p23p24,2024,0.003,999,j,0.0074,0.01
13299,IN,sptincj999,p24p100,2024,0.9465,999,j,0.0074,0.0075
13382,IN,sptincj999,p24p25,2024,0.0031,999,j,0.0075,0.0076
13465,IN,sptincj999,p25p100,2024,0.9434,999,j,0.0076,0.01
13548,IN,sptincj999,p25p26,2024,0.0031,999,j,0.0076,0.0077
13631,IN,sptincj999,p26p100,2024,0.9403,999,j,0.0077,0.01
13714,IN,sptincj999,p26p27,2024,0.0032,999,j,0.0077,0.0078000000000000005
13797,IN,sptincj999,p27p100,2024,0.9371,999,j,0.0078000000000000005,0.01
13880,IN,sptincj999,p27p28,2024,0.0032,999,j,0.0078000000000000005,0.0079
13963,IN,sptincj999,p28p100,2024,0.9339,999,j,0.0079,0.008
14046,IN,sptincj999,p28p29,2024,0.0032,999,j,0.0007000000000000001,0.01
14129,IN,sptincj999,p29p100,2024,0.9307,999,j,0.0007000000000000001,0.0008
14212,IN,sptincj999,p29p30,2024,0.0033,999,j,0.008,0.01
14295,IN,sptincj999,p2p100,2024,0.9982,999,j,0.008,0.008100000000000001
14378,IN,sptincj999,p2p3,2024,0.0013,999,j,0.008,0.009000000000000001
14461,IN,sptincj999,p40p100,2024,0.8914000000000001,999,j,0.008100000000000001,0.008199999999999999
14544,IN,sptincj999,p30p100,2024,0.9274,999,j,0.008199999999999999,0.01
14627,IN,sptincj999,p30p31,2024,0.0033,999,j,0.008199999999999999,0.0083
14710,IN,sptincj999,p30p40,2024,0.036,999,j,0.0083,0.01
14793,IN,sptincj999,p31p100,2024,0.9241,999,j,0.0083,0.0084
14876,IN,sptincj999,p31p32,2024,0.0034,999,j,0.0084,0.01
14959,IN,sptincj999,p32p100,2024,0.9207,999,j,0.0084,0.0085
15042,IN,sptincj999,p32p33,2024,0.0035,999,j,0.0085,0.0086
15125,IN,sptincj999,p40p41,2024,0.0039,999,j,0.0086,0.01
15208,IN,sptincj999,p40p50,2024,0.0416,999,j,0.0086,0.0087
15291,IN,sptincj999,p33p100,2024,0.9172,999,j,0.0087,0.01
15374,IN,sptincj999,p33p34,2024,0.0035,999,j,0.0087,0.0088
15457,IN,sptincj999,p34p100,2024,0.9137,999,j,0.0088,0.01
15540,IN,sptincj999,p34p35,2024,0.0036,999,j,0.0088,0.0089
15623,IN,sptincj999,p35p100,2024,0.9101,999,j,0.0089,0.01
15706,IN,sptincj999,p35p36,2024,0.0036,999,j,0.0008,0.01
15789,IN,sptincj999,p36p100,2024,0.9065,999,j,0.0008,0.0009
15872,IN,sptincj999,p36p37,2024,0.0037,999,j,0.009000000000000001,0.01
15955,IN,sptincj999,p37p100,2024,0.9028,999,j,0.009000000000000001,0.0091
16038,IN,sptincj999,p37p38,2024,0.0037,999,j,0.009000000000000001,0.009899999999999999
16121,IN,sptincj999,p38p100,2024,0.8991,999,j,0.0091,0.01
16204,IN,sptincj999,p38p39,2024,0.0038,999,j,0.0091,0.0092
16287,IN,sptincj999,p39p100,2024,0.8952,999,j,0.0092,0.009300000000000001
16370,IN,sptincj999,p39p40,2024,0.0038,999,j,0.009300000000000001,0.01
16453,IN,sptincj999,p3p100,2024,0.9969,999,j,0.009300000000000001,0.009399999999999999
16536,IN,sptincj999,p3p4,2024,0.0015,999,j,0.009399999999999999,0.01
16619,IN,sptincj999,p41p100,2024,0.8875000000000001,999,j,0.009399999999999999,0.0095
16702,IN,sptincj999,p41p42,2024,0.0039,999,j,0.0095,0.01
16785,IN,sptincj999,p42p100,2024,0.8836,999,j,0.0096,0.01
16868,IN,sptincj999,p42p43,2024,0.004,999,j,0.0096,0.0097
16951,IN,sptincj999,p43p100,2024,0.8796,999,j,0.0097,0.01
17034,IN,sptincj999,p43p44,2024,0.004,999,j,0.0097,0.0098
17117,IN,sptincj999,p44p100,2024,0.8756,999,j,0.0098,0.01
17200,IN,sptincj999,p44p45,2024,0.0041,999,j,0.0098,0.009899999999999999
17283,IN,sptincj999,p99.992p100,2024,0.0403,999,j,0.00991,0.01
17366,IN,sptincj999,p45p100,2024,0.8714000000000001,999,j,0.00991,0.00992
17449,IN,sptincj999,p45p46,2024,0.0042,999,j,0.00992,0.01
17532,IN,sptincj999,p46p100,2024,0.8672000000000001,999,j,0.00992,0.00993
17615,IN,sptincj999,p46p47,2024,0.0043,999,j,0.00993,0.01
